Account Name,Adjusted Cost,Adjusted Proceeds,Avg Buy Price,Avg Sell Price,Exit Efficiency,Best Exit,Best Exit Price,Best Exit Time,Bias,Close Date,Close Time,Commission,Confluence,Did Emotions Affect Decisions?,Duration,Emotions,Entry Logic Explanation,Entry Model,Entry Price,Executions,Exit Price,Gross P&L,How Did The Trade Play Out?,Trade Risk,Initial Target,Instrument,Spread Type,Mistakes,Net P&L,Net ROI,Notes For Coaches,Open Date,Open Time,Pips,Reward Ratio,Points,Position MAE,Position MFE,Price MAE,Price MFE,Profit Target   Did You Respect It?,Realized RR,Return Per Pip,Reviewed,Setups,Side,Status,Stop Loss   Did You Respect It?,Playbook,Symbol,Ticks Value,Ticks Per Contract,Fee,Swap,Rating,Quantity,Was Emotionally Stable?,What I Did Well,Zella Score
Tradovate TPT 50K - TAKEPROFIT635000920 - BLOWN,1015200.0,1015150.0,25380.0,25378.75,,,,,"",2026-02-09,12:31:42 EST,0.0,"","",0.0,"","","",25380.0,2,25378.75,-50.0,"",0.0,0.0,NQ,future,not knowing how to use tradovate w/ trading view,-50.0,-0.00004925,"",2026-02-09,12:31:42 EST,,,-1.25,-50.0,50.0,25378.75,25381.25,"",,,true,"",long,Loss,"","",NQ,-10.0,-5.0,0.0,0.0,,2.0,"","",-100.0
Tradovate Apex 100K STATIC - APEX-484839-01 - BLOWN,253800.0,253552.5,25380.0,25355.25,,,,,"",2026-02-09,12:58:32 EST,0.0,"","",1941.0,"","","",25380.0,2,25355.25,-247.5,"",0.0,0.0,MNQ,future,"bleed, kept moving stoploss",-247.5,-0.00097518,"",2026-02-09,12:26:11 EST,,,-24.75,-305.0,212.5,25349.5,25401.25,"",,,false,"",long,Loss,"","",MNQ,-495.0,-99.0,0.0,0.0,,5.0,"","",-81.14754098
Tradovate TPT 50K - TAKEPROFIT635000920 - BLOWN,507260.0,507280.0,25363.0,25364.0,3.42,585.0,25392.25,2026-02-09 20:50:00 UTC,"",2026-02-09,16:27:36 EST,0.0,"","",2797.0,"","","",25363.0,2,25364.0,20.0,"",0.0,0.0,NQ,future,"",20.0,0.00003943,"",2026-02-09,15:40:59 EST,,,1.0,-615.0,585.0,25332.25,25392.25,"",,,false,"",long,Win,"","",NQ,4.0,4.0,0.0,0.0,0.5,1.0,"","",3.41880342
Tradovate TPT 50K - TAKEPROFIT635000920 - BLOWN,193050.0,193410.0,64.35,64.47,,,,,"",2026-02-10,09:12:25 EST,0.0,"","",375.0,"","","",64.35,2,64.47,360.0,"",0.0,0.0,CL,future,moved tp & sl,360.0,0.0018648,"",2026-02-10,09:06:10 EST,,,0.12,60.0,450.0,64.37,64.5,"",,,true,"",long,Win,"",ZTH | Pivot,CL,36.0,12.0,0.0,0.0,1.5,3.0,"","",76.92307692
Tradovate TPT 50K - TAKEPROFIT635000920 - BLOWN,193500.0,193230.0,64.5,64.41,,450.0,64.65,2026-02-10 14:00:00 UTC,"",2026-02-10,09:00:01 EST,0.0,"","",118.0,"","","",64.5,2,64.41,-270.0,"",0.0,0.0,CL,future,kept moving stoploss,-270.0,-0.00139535,"",2026-02-10,08:58:03 EST,,,-0.09,-270.0,30.0,64.41,64.51,"",,,true,"",long,Loss,"",ZTH | Pivot,CL,-27.0,-9.0,0.0,0.0,0.5,3.0,"","",-100.0
Tradovate Apex 100K STATIC - APEX-484839-01 - BLOWN,253842.5,253472.5,25384.25,25347.25,,,,,"",2026-02-09,15:35:00 EST,0.0,"",yes,4860.0,"greedy, ambivalent, angry, fearful","","",25384.25,2,25347.25,-370.0,"not as expected, blew account",0.0,0.0,MNQ,future,moved tp & sl,-370.0,-0.0014576,"",2026-02-09,14:14:00 EST,,,-37.0,,,,,not respected,,,false,break & retest,long,Loss,not respected,Break & Retest,MNQ,-740.0,-148.0,0.0,0.0,,5.0,no,"",
Tradovate Apex 100K FULL - APEX-484839-02 - BLOWN,345850.0,342850.0,6917.0,6857.0,,,,,"",2026-02-12,18:00:00 EST,0.0,"",yes,25200.0,"angry, ambivalent, anxious, fearful, frustrated, greedy, stressed","fvg, fear of missing out","",6917.0,2,6857.0,-3000.0,"not as expected, blew account",0.0,0.0,ES,future,"not an a+ setup, moved tp & sl, chasing price",-3000.0,-0.00867428,"",2026-02-12,11:00:00 EST,,,-60.0,,,,,"",,,false,"",long,Loss,not respected,"",ES,-240.0,-240.0,0.0,0.0,,1.0,no,"",
Tradovate TPT 50K - TAKEPROFIT635000920 - BLOWN,342150.0,341075.0,6843.0,6821.5,,,,,"",2026-02-13,09:55:00 EST,0.0,"",yes,900.0,anxious,"",fcr,6843.0,2,6821.5,1075.0,"rapidly opposed my idea, as expected",0.0,0.0,ES,future,"",1075.0,0.0031518,"",2026-02-13,09:40:00 EST,,,21.5,,,,,respected,,,true,break & retest,short,Win,respected,"",ES,86.0,86.0,0.0,0.0,1.5,1.0,no,exited in profit,
Tradovate TPT 50K - TAKEPROFIT635000920 - BLOWN,341050.0,343050.0,6821.0,6861.0,,,,,"",2026-02-13,10:25:00 EST,0.0,"",yes,1800.0,"anxious, frustrated, greedy, stressed",fear of missing out,"",6821.0,2,6861.0,-2000.0,"blew account, not as expected, rapidly opposed my idea",0.0,0.0,ES,future,"chasing price, fomo, kept moving stoploss, not in plan, overtrade, revenge trading, rushing",-2000.0,-0.00583005,"",2026-02-13,09:55:00 EST,,,-40.0,,,,,"",,,true,"",short,Loss,"","",ES,-160.0,-160.0,0.0,0.0,,1.0,no,"",
Tradovate TPT 50K_reset-1 - TAKEPROFIT401190651,495145.0,492935.0,24757.25,24646.75,,,,,"",2026-02-17,09:51:00 EST,0.0,"",yes,540.0,fearful,fear of missing out,other (specify below),24757.25,2,24646.75,-2210.0,rapidly opposed my idea,0.0,0.0,NQ,future,"",-2210.0,-0.00446334,"",2026-02-17,09:42:00 EST,,,-110.5,,,,,"",,,false,"",long,Loss,"",Break & Retest,NQ,-442.0,-442.0,0.0,0.0,,1.0,no,"",
Tradovate APEX 100K FULL_reset-1 - APEX-484839-03 - BLOWN,493720.0,496800.0,24686.0,24840.0,,,,,"",2026-02-13,09:45:00 EST,0.0,"",yes,300.0,"ambivalent, angry, anxious, fearful, frustrated, greedy, stressed","","",24686.0,2,24840.0,-3080.0,"blew account, not as expected",0.0,0.0,NQ,future,"not off a level, overtrade, revenge trading, rushing, not in plan, bleed, chasing price, fear of loss, fomo, kept moving stoploss, ignored bias, not an a+ setup",-3080.0,-0.00619968,"",2026-02-13,09:40:00 EST,,,-154.0,,,,,"",,,false,"",short,Loss,not respected,"",NQ,-616.0,-616.0,0.0,0.0,,1.0,no,"",
Tradovate APEX 100K FULL_reset-2 - APEX-484839-04 - BLOWN,493720.0,496800.0,24686.0,24840.0,,,,,"",2026-02-13,10:30:00 EST,0.0,"",yes,2100.0,"angry, frustrated, greedy, stressed, anxious, ambivalent, fearful","","",24686.0,2,24840.0,-3080.0,"not as expected, blew account",0.0,0.0,NQ,future,"fear of loss, fomo, ignored bias, not in plan, overtrade, not off a level, revenge trading, rushing, not an a+ setup, chasing price, bleed",-3080.0,-0.00619968,"",2026-02-13,09:55:00 EST,,,-154.0,,,,,"",,,false,"",short,Loss,not respected,"",NQ,-616.0,-616.0,0.0,0.0,,1.0,no,"",
TradingView Paper Trading,481630.0,479800.0,4816.3,4798.0,,-481630.0,,,uptrend,2026-02-02,08:15:57 EST,0.0,emas bullish,"",212.0,"","","",4816.3,2,4798.0,-1830.0,"",-1810.0,1970.0,GC,future,"slow to execute, continued to retrace after entry",-1830.0,-0.0037996,"",2026-02-02,08:12:25 EST,,1.08839779,-18.3,-2030.0,170.0,4796.0,4818.0,"",-1.01104972,,true,"123, 5min tf",long,Loss,"",ZTH | 1-2-3,GC,-183.0,-183.0,0.0,0.0,1.0,1.0,"","",-90.14778325
TradingView Paper Trading,470700.0,468260.0,4707.0,4682.6,,-470700.0,,,downtrend,2026-02-02,10:45:41 EST,0.0,"","",177.0,"","","",4707.0,2,4682.6,-2440.0,"",-2440.0,2580.0,GC,future,ignored bias,-2440.0,-0.00518377,"",2026-02-02,10:42:44 EST,,1.05737705,-24.4,-2830.0,100.0,4678.7,4708.0,"",-1.0,,true,"pivot buy, 5min tf",long,Loss,"",ZTH | Pivot,GC,-244.0,-244.0,0.0,0.0,1.0,1.0,"","",-86.21908127
Tradovate TPT 50K - TAKEPROFIT635000920 - BLOWN,504065.0,504565.0,25203.25,25228.25,15.9,3145.0,25360.5,2026-02-11 19:00:00 UTC,"",2026-02-11,11:40:04 EST,0.0,"","",698.0,"","","",25203.25,2,25228.25,500.0,"",0.0,0.0,NQ,future,"",500.0,0.00099194,"",2026-02-11,11:28:26 EST,,,25.0,-565.0,1065.0,25175.0,25256.5,"",,,true,"",long,Win,"","",NQ,100.0,100.0,0.0,0.0,1.0,1.0,"","",46.94835681
Tradovate TPT 50K - TAKEPROFIT635000920 - BLOWN,502320.0,502800.0,25116.0,25140.0,9.82,4890.0,25360.5,2026-02-11 19:00:00 UTC,"",2026-02-11,10:37:50 EST,0.0,"","",24.0,"","","",25116.0,2,25140.0,480.0,"",0.0,0.0,NQ,future,"",480.0,0.00095557,"",2026-02-11,10:37:26 EST,,,24.0,-110.0,490.0,25110.5,25140.5,"",,,true,"",long,Win,"",ZTH | Pivot,NQ,96.0,96.0,0.0,0.0,1.0,1.0,"","",97.95918367
TradingView Paper Trading,499470.0,500630.0,4994.7,5006.3,,499470.0,0.0,1970-01-01 00:00:00 UTC,uptrend,2026-02-03,11:35:27 EST,0.0,"","",506.0,"","","",4994.7,2,5006.3,-1160.0,"",-1060.0,1580.0,GC,future,"chasing price, rushing, not off a level, ignored bias",-1160.0,-0.00231708,"",2026-02-03,11:27:01 EST,,1.49056604,-11.6,-1530.0,770.0,5010.0,4987.0,"",-1.09433962,,true,pivot sell,short,Loss,"",ZTH | Pivot,GC,-116.0,-116.0,0.0,0.0,0.5,1.0,"","",-75.81699346
TradingView Paper Trading,498250.0,496730.0,4982.5,4967.3,,300.0,4985.5,2026-02-03 17:00:00 UTC,downtrend,2026-02-03,12:07:53 EST,0.0,"","",886.0,"","","",4982.5,2,4967.3,-1520.0,"",-1460.0,2300.0,GC,future,"rushing, ignored bias",-1520.0,-0.00305068,"",2026-02-03,11:53:07 EST,,1.57534247,-15.2,-1550.0,490.0,4967.0,4987.4,"",-1.04109589,,true,pivot buy,long,Loss,"",ZTH | Pivot,GC,-152.0,-152.0,0.0,0.0,0.5,1.0,"","",-98.06451613
TradingView Paper Trading,483960.0,484420.0,4839.6,4844.2,,4860.0,4768.5,2026-02-03 02:40:00 UTC,downtrend,2026-02-02,21:08:22 EST,0.0,"","",125.0,"","","",4839.6,2,4844.2,-460.0,"",-480.0,2440.0,GC,future,"stopped out on retractement, not filled 2nd sweep",-460.0,-0.00094959,"",2026-02-02,21:06:17 EST,,5.08333333,-4.6,-520.0,1500.0,4844.8,4824.6,"",-0.95833333,,true,break & retest,short,Loss,"","",GC,-46.0,-46.0,0.0,0.0,1.0,1.0,"","",-88.46153846
Tradovate Apex 100K FULL - APEX-484839-02 - BLOWN,505050.0,505255.0,25252.5,25262.75,9.49,2160.0,25360.5,2026-02-11 19:00:00 UTC,"",2026-02-11,13:27:39 EST,0.0,"","",1540.0,"","","",25252.5,2,25262.75,205.0,"",0.0,0.0,NQ,future,chasing price,205.0,0.0004059,"",2026-02-11,13:01:59 EST,,,10.25,-1035.0,495.0,25200.75,25277.25,"",,,true,"",long,Win,"","",NQ,41.0,41.0,0.0,0.0,,1.0,"","",41.41414141
Tradovate Apex 100K FULL - APEX-484839-02 - BLOWN,508755.0,508165.0,25437.75,25408.25,0.12,508755.0,0.0,1970-01-01 00:00:00 UTC,"",2026-02-10,10:34:43 EST,0.0,"","",197.0,"","","",25437.75,2,25408.25,590.0,"",0.0,0.0,NQ,future,moved tp & sl,590.0,0.00116104,"",2026-02-10,10:31:26 EST,,,29.5,-20.0,690.0,25438.75,25403.25,"",,,true,"",short,Win,"","",NQ,118.0,118.0,0.0,0.0,1.5,1.0,"","",85.50724638
Tradovate TPT 50K - TAKEPROFIT635000920 - BLOWN,507525.0,507270.0,25376.25,25363.5,0.05,507525.0,0.0,1970-01-01 00:00:00 UTC,"",2026-02-10,11:15:36 EST,0.0,"","",287.0,"","","",25376.25,2,25363.5,255.0,"",0.0,0.0,NQ,future,moved tp & sl,255.0,0.00050269,"",2026-02-10,11:10:49 EST,,,12.75,-260.0,545.0,25389.25,25349.0,"",,,true,"",short,Win,"","",NQ,51.0,51.0,0.0,0.0,1.5,1.0,"","",46.78899083
Tradovate TPT 50K - TAKEPROFIT635000920 - BLOWN,193440.0,193680.0,64.48,64.56,88.89,270.0,64.57,2026-02-12 12:00:00 UTC,"",2026-02-12,06:57:35 EST,0.0,"","",104.0,"","","",64.48,2,64.56,240.0,"",0.0,0.0,CL,future,"",240.0,0.00124069,"",2026-02-12,06:55:51 EST,,,0.08,90.0,270.0,64.51,64.57,"",,,true,"",long,Win,"","",CL,24.0,8.0,0.0,0.0,1.5,3.0,"","",83.33333333
TradingView Paper Trading,506580.0,507610.0,5065.8,5076.1,,506580.0,,,uptrend,2026-02-03,21:02:05 EST,0.0,"","",167.0,"","","",5065.8,2,5076.1,-1030.0,"",-950.0,1640.0,GC,future,ignored bias,-1030.0,-0.00202912,"",2026-02-03,20:59:18 EST,,1.72631579,-10.3,-1390.0,130.0,5079.7,5064.5,"",-1.08421053,,true,break & retest,short,Loss,"",Break & Retest,GC,-103.0,-103.0,0.0,0.0,0.5,1.0,"","",-74.10071942
TradingView Paper Trading,508500.0,506540.0,5085.0,5065.4,76.86,2550.0,5059.5,2026-02-04 02:30:00 UTC,"",2026-02-03,21:34:41 EST,0.0,"","",744.0,"","","",5085.0,2,5065.4,1960.0,"",-430.0,1940.0,GC,future,"",1960.0,0.00386939,"",2026-02-03,21:22:17 EST,,4.51162791,19.6,80.0,2030.0,5084.2,5064.7,"",4.55813953,,true,rejection,short,Win,"",ZTH | Rejection,GC,196.0,196.0,0.0,0.0,2.0,1.0,"","",96.41025641
TradingView Paper Trading,506570.0,507200.0,5065.7,5072.0,,280.0,5062.9,2026-02-04 02:40:00 UTC,uptrend,2026-02-03,21:42:24 EST,0.0,"","",188.0,"","","",5065.7,2,5072.0,-630.0,"",-580.0,1610.0,GC,future,"rushing, continued to retrace after entry",-630.0,-0.00124211,"",2026-02-03,21:39:16 EST,,2.77586207,-6.3,-730.0,410.0,5073.0,5061.6,"",-1.0862069,,true,"",short,Loss,"",ZTH | 1-2-3,GC,-63.0,-63.0,0.0,0.0,0.5,1.0,"","",-86.30136986
TradingView Paper Trading,506510.0,507020.0,5065.1,5070.2,,890.0,5056.2,2026-02-04 03:00:00 UTC,"",2026-02-03,22:05:11 EST,0.0,"","",422.0,"","","",5065.1,2,5070.2,-510.0,"",-510.0,1570.0,GC,future,stopped out on retractement,-510.0,-0.00100588,"",2026-02-03,21:58:09 EST,,3.07843137,-5.1,-660.0,890.0,5071.7,5056.2,"",-1.0,,true,123,short,Loss,"",ZTH | 1-2-3,GC,-51.0,-51.0,0.0,0.0,0.5,1.0,"","",-77.27272727
Tradovate TPT 50K - TAKEPROFIT635000920 - BLOWN,193530.0,193560.0,64.51,64.52,,,,,"",2026-02-12,07:27:01 EST,0.0,"","",470.0,"","","",64.51,2,64.52,30.0,"",0.0,0.0,CL,future,"",30.0,0.00015501,"",2026-02-12,07:19:11 EST,,,0.01,-270.0,60.0,64.42,64.53,"",,,true,"",long,Win,"","",CL,3.0,1.0,0.0,0.0,0.5,3.0,"","",50.0
Tradovate Apex 100K FULL - APEX-484839-02 - BLOWN,193350.0,192270.0,64.45,64.09,73.47,1470.0,63.96,2026-02-12 13:00:00 UTC,"",2026-02-12,08:42:08 EST,0.0,"","",3123.0,"","","",64.45,2,64.09,1080.0,"",0.0,0.0,CL,future,"",1080.0,0.0056171,"",2026-02-12,07:50:05 EST,,,0.36,-480.0,1320.0,64.61,64.01,"",,,true,"",short,Win,"",ZTH | Pivot,CL,108.0,36.0,0.0,0.0,2.5,3.0,"","",81.81818182
TradingView Paper Trading,494700.0,493760.0,4947.0,4937.6,,-494700.0,,,downtrend,2026-02-04,11:38:27 EST,0.0,"","",223.0,"","","",4947.0,2,4937.6,-940.0,"",-950.0,1120.0,GC,future,"ignored bias, volatility",-940.0,-0.00190014,"",2026-02-04,11:34:44 EST,,1.17894737,-9.4,-980.0,480.0,4937.2,4951.8,"",-0.98947368,,true,"123, break & retest",long,Loss,"","ZTH | 1-2-3, Break & Retest",GC,-94.0,-94.0,0.0,0.0,0.5,1.0,"","",-95.91836735
TradingView Paper Trading,497825.0,497285.0,24891.25,24864.25,,-497825.0,,,downtrend,2026-02-04,12:35:44 EST,0.0,"","",95.0,"","","",24891.25,2,24864.25,-540.0,"",-530.0,1005.0,NQ,future,ignored bias,-540.0,-0.00108472,"",2026-02-04,12:34:09 EST,,1.89622642,-27.0,-595.0,25.0,24861.5,24892.5,"",-1.01886792,,true,pivot buy,long,Loss,"",ZTH | Pivot,NQ,-108.0,-108.0,0.0,0.0,0.5,1.0,"","",-90.75630252
TradingView Paper Trading,496345.0,496965.0,24817.25,24848.25,,720.0,24781.25,2026-02-05 17:00:00 UTC,downtrend,2026-02-05,11:55:34 EST,0.0,"","",1021.0,"","","",24817.25,2,24848.25,-620.0,"",-605.0,3670.0,NQ,future,stopped out on retractement,-620.0,-0.00124757,"",2026-02-05,11:38:33 EST,,6.0661157,-31.0,-785.0,1740.0,24856.5,24730.25,"",-1.02479339,,true,pivot sell,short,Loss,"",ZTH | Pivot,NQ,-124.0,-124.0,0.0,0.0,1.5,1.0,"","",-78.98089172
TradingView Paper Trading,496325.0,496730.0,24816.25,24836.5,,496325.0,0.0,1970-01-01 00:00:00 UTC,"",2026-02-05,12:51:09 EST,0.0,"","",4.0,"","","",24816.25,2,24836.5,-405.0,"",-290.0,790.0,NQ,future,no confluence,-405.0,-0.00081533,"",2026-02-05,12:51:05 EST,,2.72413793,-20.25,-410.0,50.0,24836.75,24813.75,"",-1.39655172,,true,"shouldn't be in this trade, practice position sizing",short,Loss,"","",NQ,-81.0,-81.0,0.0,0.0,0.5,1.0,"","",-98.7804878
TradingView Paper Trading,497740.0,498645.0,24887.0,24932.25,,130.0,24880.5,2026-02-06 16:00:00 UTC,uptrend,2026-02-06,11:02:45 EST,0.0,"","",302.0,"","","",24887.0,2,24932.25,-905.0,"",-915.0,2215.0,NQ,future,not off a level,-905.0,-0.00181492,"",2026-02-06,10:57:43 EST,,2.42076503,-45.25,-960.0,425.0,24935.0,24865.75,"",-0.98907104,,true,"",short,Loss,"","",NQ,-181.0,-181.0,0.0,0.0,,1.0,"","",-94.27083333
TradingView Paper Trading,496845.0,496860.0,24842.25,24843.0,,,,,"",2026-02-06,10:55:38 EST,0.0,"","",0.0,"","","",24842.25,2,24843.0,-15.0,"",0.0,0.0,NQ,future,"",-15.0,-0.00003019,"",2026-02-06,10:55:38 EST,,,-0.75,-90.0,0.0,24846.75,24842.75,"",,,false,oops,short,Loss,"","",NQ,-3.0,-3.0,0.0,0.0,,1.0,"","",-16.66666667
TradingView Paper Trading,64090.0,64190.0,64.09,64.19,-0.16,-64090.0,,,uptrend,2026-02-06,11:36:21 EST,0.0,"","",178.0,"","","",64.09,2,64.19,100.0,"",-40.0,90.0,CL,future,not an a+ setup,100.0,0.00156031,"",2026-02-06,11:33:23 EST,,2.25,0.1,-10.0,100.0,64.08,64.19,"",2.5,,true,"123, 5min tf, break & retest",long,Win,"","Break & Retest, ZTH | 1-2-3",CL,10.0,10.0,0.0,0.0,2.0,1.0,"","",100.0
TradingView Paper Trading,62950.0,62890.0,62.95,62.89,,60.0,63.01,2026-02-09 05:00:00 UTC,"",2026-02-09,00:43:14 EST,0.0,"","",2712.0,"","","",62.95,2,62.89,-60.0,"",-50.0,80.0,CL,future,"",-60.0,-0.00095314,"",2026-02-08,23:58:02 EST,,1.6,-0.06,-100.0,60.0,62.85,63.01,"",-1.2,,true,testing,long,Loss,"","",CL,-6.0,-6.0,0.0,0.0,0.5,1.0,"","",-60.0
Tradovate TPT 50K - TAKEPROFIT635000920 - BLOWN,190410.0,190530.0,63.47,63.51,,190410.0,0.0,1970-01-01 00:00:00 UTC,"",2026-02-09,09:35:40 EST,0.0,"","",89.0,"","","",63.47,2,63.51,-120.0,"",0.0,0.0,CL,future,"",-120.0,-0.00062982,"",2026-02-09,09:34:11 EST,,,-0.04,-180.0,150.0,63.53,63.42,"",,,false,"",short,Loss,"","",CL,-12.0,-4.0,0.0,0.0,,3.0,"","",-66.66666667
Tradovate TPT 50K - TAKEPROFIT635000920 - BLOWN,347462.5,347562.5,6949.25,6951.25,,347462.5,0.0,1970-01-01 00:00:00 UTC,"",2026-02-09,10:03:41 EST,0.0,"","",129.0,"","","",6949.25,2,6951.25,-100.0,"",0.0,0.0,ES,future,"",-100.0,-0.00028772,"",2026-02-09,10:01:32 EST,,,-2.0,-100.0,287.5,6951.25,6943.5,"",,,false,"",short,Loss,"","",ES,-8.0,-8.0,0.0,0.0,,1.0,"","",-100.0
Tradovate TPT 50K - TAKEPROFIT635000920 - BLOWN,347962.5,348500.0,6959.25,6970.0,,,,,"",2026-02-09,10:31:05 EST,0.0,"","",242.0,"","","",6959.25,2,6970.0,537.5,"",0.0,0.0,ES,future,"",537.5,0.00154471,"",2026-02-09,10:27:03 EST,,,10.75,-50.0,575.0,6958.25,6970.75,"",,,false,"",long,Win,"","",ES,43.0,43.0,0.0,0.0,,1.0,"","",93.47826087
Tradovate APEX 100K FULL_reset-3 - APEX-484839-05,190410.0,190350.0,63.47,63.45,66.67,90.0,63.44,2026-02-16 16:00:00 UTC,"downtrend, uptrend",2026-02-16,11:07:49 EST,0.0,"emas bullish, emas bearish",yes,1682.0,"frustrated, stressed, angry, happy, confident, ambivalent, anxious, calm, excited, fearful, neutral","fvg, fear of missing out",other (specify below),63.47,2,63.45,60.0,"as expected, not as expected, rapidly opposed my idea",0.0,0.0,CL,future,"continued to retrace after entry, bleed, chasing price, ignored bias, kept moving stoploss, moved tp & sl, no confluence, not an a+ setup, not filled 2nd sweep, not knowing how to use tradovate w/ trading view, not off a level, rushing, slow to execute, stopped out on retractement, volatility",60.0,0.00031521,"poor execution, great execution",2026-02-16,10:39:47 EST,,,0.02,-330.0,90.0,63.58,63.44,"1:2 rr, respected, not respected",,,true,"practice position sizing, rejection, shouldn't be in this trade, testing, 123, 5min tf, oops, break & retest, pivot buy, pivot sell",short,Win,"stop hit, respected, not respected","IT | TCL 1.0 (AKA TCL Max/Ultra), Break & Retest, IT | SMOG, ZTH | Rejection, ZTH | 1-2-3, ZTH | Pivot, Break & Retest - Vincent Desiano Template, IT | TC1 & 2, IT | G2, IT | CH1, ZTH | Bounce, IT | 35A, ZTH | SFP",CL,6.0,2.0,0.0,0.0,0.5,3.0,no,"exited in profit, realized the trade was moving the opposite direction",66.66666667
